Year,temp,rainfall,Count,Protected
2010,14.75,854.6,135,P
2011,14.6,873.4,197,P
2012,14.65,877.8,221,P
2013,15,806.6,346,P
2014,15.15,658.8,119,P
2015,14.6,545.6,109,P
2016,15.05,646.2,213,P
2017,14.85,720.4,438,P
2018,15,645.2,445,P
2019,14.9,591.8,428,P
2010,14.75,854.6,284,NP
2011,14.6,873.4,38,NP
2012,14.65,877.8,64,NP
2013,15,806.6,31,NP
2014,15.15,658.8,251,NP
2015,14.6,545.6,247,NP
2016,15.05,646.2,91,NP
2017,14.85,720.4,179,NP
2018,15,645.2,215,NP
2019,14.9,591.8,205,NP
